id,title,type,seasons,runtime,release_year,age_certification,description
ts12564,Chargeman Ken!,SHOW,1.0,7,1974,nan,"It is the year 2074. In a world threatened by aliens... an unlikely hero emerges! Ken Izumi may look like an ordinary 10-year-old boy, but he secretly possesses weapons, armor, and accessories that transform him into the superheroic Chargeman Ken. Ken protects his mom, dad, little sister Caron, robot pal Barican, and the rest of mankind from the diabolical Juralians, shape-shifting alien invaders bent on terrorizing the earth. The only thing standing between the fragile human race and conquest by the Juralians is Chargeman Ken and his unquenchable thirst for fiery, atomic justice!"
ts208160,"Demian, o Justiceiro",SHOW,1.0,19,1968,nan,nan
ts20740,Dragon Ball Z,SHOW,16.0,24,1989,TV-PG,"Dragon Ball Z is a Japanese animated television series produced by Toei Animation. Dragon Ball Z is the sequel to the Dragon Ball anime and adapts the last 26 volumes of the original 42 volume Dragon Ball manga series created by Akira Toriyama The series Debut in 1988-1995 on Weekly Shounen Jump. Dragon Ball Z depicts the continuing adventures of Goku and his companions to defend against an assortment of villains which seek to destroy or rule the Earth.

The anime first aired in Japan from April 25, 1989, to January 31, 1996, and was dubbed in several territories around the world, including the United States, Europe, and in Latin America."
ts21560,Dragon Ball,SHOW,10.0,24,1986,TV-14,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the dragon balls brought her to Goku's home. Together, they set off to find all seven dragon balls in an adventure that would change Goku's life forever. See how Goku met his life long friends Bulma, Yamcha, Krillin, Master Roshi and more. And see his adventures as a boy, all leading up to  Dragonball Z and later  Dragonball GT."
ts14127,Fist of the North Star,SHOW,6.0,25,1984,TV-MA,"In the year 199X, human civilization has been all but destroyed by a nuclear holocaust."
ts29377,Megabeast Investigator Juspion,SHOW,1.0,24,1985,nan,"Juspion's parents were killed by space pirates when he was a baby. After escaping to the planet Eijin, he is raised by a space hermit.

He eventually embarks on a quest to fight the Mega beasts and defeat Satan Gorth. Hetravels from planet to planet until he finally arrives on Earth. Wearing a special suit, he has super human powers and a transforming spaceship."
ts42463,Samurai Pizza Cats,SHOW,1.0,24,1990,TV-Y7,"The setting is a Japanese looking village named ""Little Tokyo""  where the Pizza Cats run a pizza fast food business. Little Tokyo is  populated by all kinds of animals. The official governor of the town is  the Emperor, but since he has gone bananas a council takes care of the  well-being of the village. One of the members of this council is called  Seymour ""Big"" Cheese, who secretly wishes to take over control of the  village. The pizza take away restaurant is merely a cover for their true  job... Whenever evil is afoot, the Pizza Cats are launched towards the  danger from the gun-lookalike clock tower that emerges from the top of  their restaurant."
ts46776,Gunbuster,SHOW,2.0,27,1988,nan,"In the near future, humanity has taken its first steps towards journeying into the far reaches of the galaxy. Upon doing so they discover a huge race of insectoid aliens known as ""Space Monsters."" These aliens seem dedicated to the eradication of mankind as they near closer and closer to discovering Earth. In response, humanity develops giant fighting robots piloted by hand-picked youth from around the world. Shortly after the discovery of the aliens, Noriko Takaya, the daughter of a famous deceased space captain, enters a training school despite her questionable talents as a pilot. There, she meets her polar opposite, the beautiful and talented Kazumi Amano, and is unexpectedly made to work together with her as they attempt to overcome the trauma of war as well as their own emotions."
ts77258,City Hunter,SHOW,4.0,24,1987,nan,nan
ts29400,Kimagure Orange Road,SHOW,2.0,25,1987,nan,"Kyosuke Kasuga, fifteen, moves to a new city and falls for Madoka  Ayukawa. She's friendly when they're alone, but acts like a delinquent  when in front of others. Kyosuke meanwhile struggles not to break the  heart of Hikaru Hiyama, who fell in love after seeing him make an  impossible basketball shot. To add the cherry to this particular sundae,  Kyosuke and his family (sisters, grandfather, and cousins) all have  various powers. And while Kyosuke's desperate to keep those powers a  secret, his younger sisters (among others) aren't quite as concerned  about it."
ts12311,Cat's Eye,SHOW,2.0,25,1983,nan,"Cat's Eye is the most notorious group of art thieves in Japan. No one knows their identities, but for most of Tokyo, the mystery only heightens their allure."
ts80937,Dallos,SHOW,1.0,29,1983,nan,"In a near future, mankind has moved from a drained Earth to the Moon. Rebel acts of terrorism lead to conflicts with the Earth Federal Government. A mysterious entity called Dallos appears to restore hope."
ts12843,Arcadia of My Youth: Endless Orbit SSX,SHOW,1.0,25,1982,nan,"Arcadia of My Youth: Endless Orbit SSX is an animated television series created by Leiji Matsumoto. It's the sequel to the 1982 animated film Arcadia of My Youth. However, like many of the stories set in the Leijiverse, the continuity of the series does not necessarily agree with other Harlock series or films."
ts56937,Giant Gorg,SHOW,1.0,24,1984,nan,"Yuu Tagami was never close with his father. Yet after the old man's accidental death, Yuu finds himself on a plane to New York City, following instructions written in a letter from his late father. New York is as strange as it gets for the boy from Japan, but stranger still is Dr. Wave, the man he's supposed to meet. Dr. Wave shares an obsession with the deceased concerning the mysterious New Austral Island."
ts66982,GoShogun,SHOW,1.0,24,1981,nan,"GoShogun was a super robot anime series produced in 1981 and aired in 1982 in Japan. It is variously referred to in English as ""Demon God of the War-Torn Land GoShogun"", ""Warring Demon God GoShogun"", ""Civil War Devil-God GoShogun"" and ""Macron 1""."
ts68963,Miss Machiko,SHOW,1.0,24,1981,nan,"The mischievous students of Arama Academy meet their match in a beautiful and clever new teacher, Miss Machiko! But they're determined to find a prank that will really humiliate her."
ts37484,Osomatsu-kun,SHOW,1.0,24,1988,TV-G,"Osomatsu-kun is a manga series by Fujio Akatsuka which ran in Shōnen Sunday from 1962 to 1969. It has been adapted into two different anime series of the same name, the first in 1966, produced by Studio Zero, and the second in 1988, produced by Pierrot and aired across Japan on Fuji Television, the anime satellite television network, Animax, and the South Korean kids channel, Cartoon Network Korea.

This series helped establish Akatsuka's reputation as a gag comic artist, long before his other popular manga, Tensai Bakabon. Osomatsu-kun has appeared in numerous special issues of Shōnen Sunday. Akatsuka has also included several manga adaptations of routines from Charlie Chaplin movies in the series.

In 1964, Akatsuka won the 10th Shogakukan Manga Award for Osomatsu-kun."
ts28402,The Wonderful Wizard of Oz,SHOW,2.0,23,1987,nan,"The Wonderful Wizard of Oz, known in Japan as Oz no Mahōtsukai is an anime adaptation based on four of the original Oz books by L. Frank Baum. In Japan, the series aired on NHK then TV Tokyo from 1986 to 1987. It consists of 52 episodes, which explain other parts of the Oz stories, including the events that happened after Dorothy first left Oz.

In 1987, HBO purchased the rights to the series and dubbed it into English. Production for the English version was done by the Canadian studio Cinar. Actress Margot Kidder was hired as narrator, and the Canadian band Parachute Club provided songs for the series, which aired as a mini-series. This English version attempted to completely occlude the show's Japanese origins, going so far as to remove all Japanese names and studios from the credits and to credit key aspects of the animation to Westerners, which applied primarily to the CGI opening sequence. Currently the English dub of series airs in the United States on the Cookie Jar Toons block on This TV.

The series has been aired in many countries outside Japan and has been dubbed in English, Spanish, Italian and numerous other languages.

Aside from having the same source material, this TV series bears no relation to the 1982 anime film directed by Fumihiko Takayama and produced by Yoshimitsu Banno for Toho, though both works share the same title in Japanese. However, since the 1982 film was not released in Japan until 1986 - the same year in which the TV series was first broadcast - the two productions are often confused."
ts88585,Robot Carnival,SHOW,1.0,19,1987,nan,"An anthology of various tales with robots being the one common element among them. It consists of nine shorts by different well-known directors, many of whom started out as animators with little to no directing experience. Each has a distinctive animation style and story ranging from comedic to dramatic story lines."
ts40897,Psycho Armor Govarian,SHOW,1.0,24,1983,nan,"Psychic youths to use their talents to defend earth against the oncoming Garadian invasion. Of course, there will be robots."
ts18589,Dancougar – Super Beast Machine God,SHOW,1.0,23,1985,nan,"Dancougar - Super Beast Machine God is a super robot anime television series. The show ran for 38 episodes from 4 April 1985 to 17 December 1985 and was produced by Ashi Productions. Although the series was planned for 52 episodes, it was ended abruptly before a finale could be reached. Despite this, the series garnered enough popularity for the development of multiple OVA's. Juusenki Tai Songs featured music videos of the various theme and insert songs from the series to TV series footage. The 1986 OVA Requiem for Victims featured a recap of the television series and a newly-animated conclusion to the story. Additionally, there was a 1987 sequel OVA God Bless Dancouga. In 1989 the four-part Blazing Epilogue OVA series presented a new sequel.

A show called Jūsō Kikō Dancouga Nova began airing in Japan in March 2007. However, it appears to be related to the series in name and mechanical design only, the overall plot bearing no apparent direct connection to the original and seeming to fans as more of a third season to Obari's Gravion than a successor to its namesake."
ts22544,Six God Combination Godmars,SHOW,1.0,24,1981,nan,"In the year 1999, humanity begins to advance beyond the known Solar System. The small planet Gishin, led by the Emperor Zul, who aims to conquer the galaxy, runs into conflict with Earth. He targets Earth for elimination and to do this, he sends a male baby called Mars to live among humanity. Accompanying the baby is a giant robot named Gaia, which utilizes a new power source strong enough to destroy an entire planet. As planned, Mars is expected to grow up, where he will activate the bomb within Gaia to fulfill the mission of destroying the Earth. However, when Mars arrives on Earth he is adopted into a Japanese family and given the name Takeru. Seventeen years later, Takeru grows up with a love for humanity and refuses to detonate the bomb as ordered by Zul. However, if Takeru was to die, the bomb within Gaia would explode destroying the earth."
ts20339,One Piece,SHOW,21.0,23,1999,TV-14,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!"
ts34435,Cowboy Bebop,SHOW,1.0,25,1998,TV-14,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward."
ts724,FLCL,SHOW,3.0,23,2000,TV-MA,"A 12-year old boy named Naota one day meets a strange woman, riding a Vespa and wielding a big guitar. As soon as she appears, mysterious things start happening."
ts28078,Yu Yu Hakusho,SHOW,5.0,23,1992,TV-14,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World was caught by surprise that he would sacrifice himself. Yusuke soon finds out he wasn't supposed to die and has a chance for resurrection and bringing his body back to life. After being resurrected, Yusuke becomes a Spirit Detective, along with his comrades, and one adventure after another happens, whether it be an investigation or a fighting tournament."
ts29358,Ghost Stories,SHOW,1.0,24,2000,TV-MA,"Satsuki and Keiichirou Miyanoshita are two siblings recovering from the loss of their mother. After moving to their mother's hometown, they learn that the local school they have transferred is said to be haunted. Despite brushing it off as a silly rumor, the two soon discover that ghosts are indeed real."
ts25252,Yu-Gi-Oh!,SHOW,7.0,22,1998,TV-Y,"A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler."
ts21034,InuYasha,SHOW,9.0,25,2000,TV-14,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow."
ts28998,Mobile Suit Gundam Wing,SHOW,1.0,24,1995,TV-MA,"Mankind has moved into space. Thousands of people live on giant orbiting space colonies called ""Sides."" However, the Earth Government, which rules the colonies, is unjust and cruel. A group of revolutionaries builds five robotic weapons called Gundams and plans to send them to Earth to begin their fight for independence. Piloted by five young men, these Gundams carry the hopes and dreams of freedom of the colonists with them as they descend to Earth to begin Operation Meteor!"
ts34554,Rurouni Kenshin,SHOW,4.0,25,1996,TV-14,"The Meiji Era was one of great renewal for Japan, where swords and killing were outlawed. However, many survivors from the time of Revolution still live, lurking in the shadows and waiting for a chance to use their killing blades again. Only Kenshin Himura, formerly one of the most brutal of killers, hopes to keep his swordsman's honor and still live in the new era."
ts10145,Case Closed,SHOW,51.0,25,1996,TV-14,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason."
ts28125,Fighting Spirit,SHOW,3.0,24,2000,TV-PG,"Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school (the family fishing business grants him a distinct odor), Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning..."
ts4242,Dragon Ball GT,SHOW,4.0,24,1996,TV-PG,"Ten years have passed since Goku left his friends and family to hone his skills. But Goku soon finds himself helpless against the mystical power of the Dragon Balls and an accidental wish made by the devious Emperor Pilaf. The wish; that Goku once again become a child! Goku, together with Trunks, and his own granddaughter Pan, blast off into the outer reaches of space in search of the mysterious Blackstar Dragon Balls. But these Dragon Balls have a fatal secret: if not collected within one year Earth will be destroyed."
ts26215,Mobile Fighter G Gundam,SHOW,1.0,24,1994,TV-Y7,"In the Year FC 60, much of mankind inhabits space colonies which orbit the Earth. Dominance over the colonies is decided once every four years by a large tournament in which each nation sends a single representative to fight the others with a giant robot called a Gundam. Domon Kashuu is selected to represent Neo-Japan in one of these tournaments, but he fights less to ensure his nation's victory than to find his brother, who has been blamed for the deaths of Domon's parents and the disappearance of a very dangerous weapon, the Dark Gundam or Devil Gundam."
ts21278,Revolutionary Girl Utena,SHOW,4.0,24,1997,TV-14,"The main character is Utena Tenjou, a tomboyish teenage girl who was so impressed by a kind prince in her childhood that she decided to become a prince herself. She attends Ohtori Academy, where she meets a student named Anthy Himemiya, a girl who is in an abusive relationship with another student. Utena fights to protect Anthy and is pulled into a series of sword duels with the members of the Student Council. Anthy is referred to as the ""Rose Bride"" and is given to the winner of each duel. It is said that the winner of the of tournament will receive a mysterious ""power to revolutionize the world"", and the current champion is constantly challenged for the right to possess the Rose Bride."
ts30730,Tenchi Muyo!,SHOW,5.0,29,1992,TV-14,Tenchi is an average guy who just accidentally freed the space pirate Ryoko after 700 years of captivity! Attractive alien girls from all across the galaxy are about to descend on Tenchi and make his life more outrageous than ever imaginable!
ts22286,Cardcaptor Sakura,SHOW,4.0,25,1998,TV-Y7,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world."
ts28824,Street Fighter,SHOW,3.0,25,1995,TV-PG,"A new challenger approaches with this Street Fighter II The Animated Series boxed set which contains both seasons of the television series! Discipline! Justice! Commitment! That's the code that the secret international peacekeeping force ""Street Fighter"" adheres to! Made up of the top martial artists from around the world, Street Fighter opposes criminal activities anywhere, at any time. William F. Guile, the leader of Street Fighter, conducts himself with honor even as he blows away bad guys at the speed of sound with his ""Sonic Boom""! Meanwhile, the bestial Blanka shocks his opponents all too literally, and Chun-Li's furiously flying fleet feet take down anything that gets between her and justice! They'll need all the help they can get against the villainous Shadaloo, whose leader M.Bison is one of the strongest, most vile criminals around! Fortunately for Street Fighter, they've got Ryu and Ken to back them up."
ts30820,Slam Dunk,SHOW,2.0,23,1993,TV-PG,"Sakuragi Hanamichi is a junior high punk used to getting into fights and being rejected by girls but upon entering high school he meets the girl of his dreams, Haruko Akagi. He will do anything in order to win her heart including joining the school basketball team that is aiming to conquer the nation lead by Haruko's brother. The problem is that Sakuragi has never played basketball before and a freshman sensation is stealing the spotlight and Haruko's affection from him."
ts87210,Mobile Suit Gundam Wing Endless Waltz,SHOW,1.0,90,1997,nan,Grand finale to the Gundam Wing television series.
ts848,Boys Over Flowers,SHOW,1.0,24,1996,nan,"Makino Tsukushi, a girl who comes from a poor family, just wants to get through her two last years at Eitoku Gakuen quietly. But once she makes herself known by standing up for her friend to the F4, the four most popular, powerful, and rich boys at the school, she gets the red card: F4's way of a ""Declaration of War."" But when she doesn't let herself be beaten by them and is starting to fall for one of the F4, Hanazawa Rui, she starts to see that there is more than meets the eye..."
ts53340,The Mysterious Play,SHOW,4.0,23,1995,TV-14,"Junior high school student Miaka lives a normal life in Tokyo until she finds a mysterious book in the library, and she and her friend Yui are transported the Universe of the Four Gods. Upon arriving in this new universe, the girls are immediately attacked by would-be slavers and saved by a dashing young man. When Miaka isn't looking, both Tamahome and Yui vanish. Unbeknownst to Miaka, Yui has been sucked back into the real world. Back in the library, all she can do is read on as Miaka sets out for the city to find the mysterious young boy and save her friend. But what awaits for Miaka isn't what either of the girls expect—and now Miaka's only way back to her world is to become the Priestess of Suzaku and save their world."
ts28167,Martian Successor Nadesico,SHOW,1.0,22,1996,TV-PG,"Only one ship stands between earth and total annihilation! The High Mobile Battleship Nadesico is the most formidable fighting machine ever conceived, but due to a shortage of trained soldiers, the crew is a little unorthodox. The poor Jovians don't stand a chance against the largest contingent of geeks and misfits ever sent into orbit!"
ts6051,Boogiepop Phantom,SHOW,1.0,25,2000,TV-14,"Five years ago, a string of grisly murders shook the city to its core and now the rumors have begun once more. Boogiepop... Everyone knows about Boogiepop: meet her one dark night and you are taken. People tell each other the stories and laugh: no one believes that she can possibly exist in this day and age. Still, strange things appear to be going on and the darkness is taking on many forms. Something is out there."
ts12825,Blue Submarine No. 6,SHOW,1.0,31,1998,nan,"The once famous and well respected scientist Zorndyke has bred a new genre of living being, one that thrives on the oceans and lives to destroy humans. Zorndyke believes it is time that the humans were relieved of their rule of the earth. It is up to Blue Submarine No. 6 and the rest of the Blue fleet to put an end to Zorndyke's madness and creations."
ts75847,Black Fox,SHOW,1.0,90,1995,TV-PG,A former slave affects peace between Indian tribes and homesteaders in 1860s West Texas.
ts10963,Flame of Recca,SHOW,1.0,23,1997,nan,"Recca was an average ordinary boy, who happened to like ninjas. One day as an dark and mysterious women enters his life, Recca finds that he has some extraordinary powers. Now he must use these powers to protect his friends and himself from a long lost brother, who holds a hatred against him."
ts28574,Gravitation,SHOW,1.0,23,2000,TV-PG,"Gravitation follows goofy, wannabe pop star Shuichi Shindo, on his journey to fame with his best friend Hiroshi Nakano and their band, Bad Luck.  Along the way, Shuichi meets famous (male) author, playboy Eiri Yuki, and falls in love.  Bad Luck is signed to a major record label, and Shuichi must learn how to deal with stardom, jealousy,  interference in his band, meeting his musical icon, and dealing with his first romantic relationship - a same-sex celebrity one, at that."
ts3077,Ceres: Celestial Legend,SHOW,1.0,22,2000,TV-MA,"Aya Mikage and her twin brother Aki are soon driven apart by the forces of fate…

On their sixteenth birthday, Aya and Aki are called to the family home to be given a special present. What they thought was a birthday party, however, was really a test—one which Aya failed. She was found to possess the reincarnated spirit of an ageless celestial maiden (tennyo), one bent on the recovery of her heavenly raiment (hagoromo) and the destruction of the Mikage family. Aya quickly finds herself separated from her beloved brother, and hunted by her own family."
ts62420,8 Man After,SHOW,1.0,28,1993,nan,"Private detective Hazama Itsuru is hired by Professor Tani to investigate a cyborg parts theft which eventually leads him to meet Sachiko Yokogawa, the original 8 Man's love interest. Living her new life working for the Biotecho Corp., Sachiko finds herself involved with a new 8 Man, who appears after Hazama is fatally wounded by an unknown cyborg. Amidst a violent urban background with cyber-junkies creating chaos around the city, this other 8 Man will fight criminals in a more aggressive way."
ts25067,Gasaraki,SHOW,1.0,24,1998,nan,The flames of war are fanned in the Middle East as two secretive forces unleash their latest weapons of mass destruction.
ts447,Legend of Black Heaven,SHOW,1.0,25,1999,TV-MA,"Life can crush your dreams. Oji is a middle-management drone whose only grip on sanity, in the drudgery of his corporate lifestyle, are the few shreds of hope surrounding his past life as the amazing guitarist of Black Heaven, a heavy metal band that almost made it. In his bleakest moment, the magic of performing is restored to him when a beautiful mysterious woman informs him that only his special sound can save the universe from an evil alien invasion. HARD ROCK SAVES SPACE!?"
ts64,Blue Seed,SHOW,2.0,23,1994,TV-14,"Momiji Fujimiya, is a descendant of the mythical Princess Kushinada. When Japan is menaced by Aragami spawned by Yamato-no-Orochi, Momiji is intended to be sacrificed to appease the Aragami. She instead, however, becomes a member of the Terrestrial Administration Center, a secret agency charged with fighting them."
ts31067,Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch,SHOW,2.0,25,1999,nan,Jiyu Nanohana is modern highschool girl and unwilling heir to the Yagyu Jubei school of swordsmanship.
ts43499,Photon: The Idiot Adventures,SHOW,1.0,32,1997,nan,"Photon, a young man with a kind heart and superhuman strength, leaves his village on Sandy Planet (a desert world) in search of a runaway friend. During this heroic quest, he is accidentally engaged to a renegade space pilot! Now they're on the run from the evil emperor of the galaxy and his bumbling henchmen. But even worse than the incompetent bad guys are the disastrous cooking contests, exploding spas and cheer-leading aliens!"
ts655,El Hazard: The Wanderers,SHOW,1.0,22,1995,nan,"Makoto Mizuhara is working on his latest experiment in the school science lab, but when he takes a break his lifelong rival Katsuhiko Jinnai shows up and attempts to destroy the device and discredit Makoto. This overloads the experiment and transports Makoto, Jinnai, his sister Nanami, and their teacher Mr. Fujisawa to the strange and magnificent world El Hazard. Makoto and Fujisawa land squarely in the Kingdom of Roshtaria, and quickly befriend the princess Rune Venus. Jinnai allies himself with the Bugrom, a race of giant insects bent on taking over El Hazard, while his sister tries to eke out her own living in the desert. Makoto searches desperately for a way to return home, all the while fighting off the Bugrom, enlisting the help of the Holy Priestesses, and stopping the demon god Ifurita from destroying everything."
ts51294,Soul Hunter,SHOW,1.0,23,1999,TV-14,"Thousands of years ago, it was a time of witchcraft and dark magic. An evil sorceress has bewitched the emperor of the mighty dynasty and he has become a mindless puppet. The country is in shambles and evil spirits lurk everywhere. The human world is on the verge of utter destruction. A bold mission is planned by the Confederation of the Immortal Masters. They send a young master wizard to hung down the villains and evil warlocks in the devastated lands."
ts44887,Marmalade Boy,SHOW,1.0,24,1994,nan,"Miki's parents come home from their vacation to announce that they are getting a divorce. But what is more shocking is that they have switched partners with another couple! And to top things off, this other couple has a handsome son, Yuu, who Miki begins to develop feelings for. To make things more disturbing, everyone moves into one house. What will everyone think about Miki's family lifestyle?"
ts33070,Shamanic Princess,SHOW,1.0,29,1996,TV-PG,"Tiara, an agent from the Guardian World, who has been sent to Earth to recover the Throne of Yord, a mystical object which is the source of magical energy in the Guardian World."
ts76736,Ronin Warriors: Message,SHOW,1.0,27,1991,nan,Touma has discovered a three hundred year old book that contains the various adventures of the Troopers. He also meets Suzunagi. a mysterious spirit. Now Touma has gone missing and the troopers go out to find out more about Suzunagi.
ts42574,Key the Metal Idol,SHOW,1.0,35,1994,TV-14,"Tokiko Mima, nicknamed ""Key,"" is a 17-year-old girl living in the Japanese countryside who, despite her human-like appearance, is a robot. When Key's grandfather Dr. Murao Mima passes away, he leaves her a dying message, telling her that she can become a real girl if she is able to make thirty thousand friends. Thus, Key moves from the quiet Mamio Valley to the busy streets of Tokyo, where she soon runs into her childhood friend Sakura Kuriyagawa.

Key quickly becomes enamored with idol singer Miho Utsuse and wonders if becoming a singer will allow her to make the amount of friends needed for her to become human. But Miho carries a ominous secret: she is connected to Jinsaku Ajou, an old rival of Dr. Mima trying to make new a breakthrough in robotic weaponry. As Key works to become a real girl, Ajou sets a dangerous plan into action, and it turns out there's much more to Key than meets the eye."
ts6317,Dai-Guard,SHOW,1.0,23,1999,nan,"Dai-Guard, lit. ""Terrestrial Defense Corp. Dai-Guard"" is an anime television series, produced and animated by XEBEC, and directed by Seiji Mizushima. It aired from October 5, 1999 to March 28, 2000 on TV Tokyo, ran for 26 episodes. 6 volumes of videos were released on VHS and DVD. The series also had a very brief run on Cartoon Network through Toonami's ""Giant Robot Week."""
ts43291,Magic User's Club,SHOW,1.0,27,1999,nan,"Kitanohashi High School has a small group of students called ""The Magic Users Club"". Most people think the five club members only learn how to do regular parlor tricks, but only its members know that they learn how to do real magic."
